pid,survey_id,political_party_name,support_rate
0,0,더불어민주당,49.8
1,1,더불어민주당,40.4
2,2,더불어민주당,37.4
3,3,더불어민주당,37.0
4,4,더불어민주당,47.6
5,5,더불어민주당,50.6
6,6,더불어민주당,54.2
7,7,더불어민주당,46.0
8,8,더불어민주당,50.0
9,9,더불어민주당,50.3
10,10,더불어민주당,48.3
11,11,더불어민주당,42.5
12,12,더불어민주당,48.9
13,13,더불어민주당,45.0
14,14,더불어민주당,40.0
15,15,더불어민주당,52.4
16,16,더불어민주당,53.1
17,17,더불어민주당,55.4
18,18,더불어민주당,48.6
19,19,더불어민주당,50.4
20,20,더불어민주당,39.0
21,21,더불어민주당,47.5
22,22,더불어민주당,48.0
23,23,더불어민주당,50.3
24,24,더불어민주당,52.8
25,25,더불어민주당,41.1
26,26,더불어민주당,44.1
27,27,더불어민주당,40.7
28,28,더불어민주당,45.0
29,29,더불어민주당,45.8
30,30,더불어민주당,37.8
31,31,더불어민주당,43.0
32,32,더불어민주당,39.0
33,33,더불어민주당,36.0
34,34,더불어민주당,41.5
35,35,더불어민주당,43.3
36,36,더불어민주당,44.0
37,37,더불어민주당,40.4
38,38,더불어민주당,38.2
39,39,더불어민주당,47.8
40,40,더불어민주당,48.0
41,41,더불어민주당,42.0
42,42,더불어민주당,35.0
43,43,더불어민주당,42.0
44,44,더불어민주당,42.4
45,45,더불어민주당,45.2
46,46,더불어민주당,47.1
47,47,더불어민주당,39.0
48,48,더불어민주당,33.7
49,49,더불어민주당,40.9
50,50,더불어민주당,40.4
51,51,더불어민주당,43.7
52,52,더불어민주당,37.0
53,53,더불어민주당,43.3
54,54,더불어민주당,38.9
55,55,더불어민주당,36.0
56,56,더불어민주당,45.5
57,57,더불어민주당,36.0
58,58,더불어민주당,35.4
59,59,더불어민주당,43.0
60,60,더불어민주당,36.1
61,61,더불어민주당,42.2
62,62,더불어민주당,35.0
63,63,더불어민주당,43.9
64,64,더불어민주당,31.5
65,65,더불어민주당,39.8
66,66,더불어민주당,40.5
67,67,더불어민주당,31.7
68,68,더불어민주당,41.8
69,69,더불어민주당,39.9
70,70,더불어민주당,36.3
71,71,더불어민주당,33.0
72,72,더불어민주당,44.0
73,73,더불어민주당,36.0
74,74,더불어민주당,39.0
75,75,더불어민주당,39.0
76,76,더불어민주당,43.2
77,77,더불어민주당,35.0
78,78,더불어민주당,36.7
79,79,더불어민주당,40.3
80,80,더불어민주당,39.0
81,81,더불어민주당,38.8
82,82,더불어민주당,37.3
83,83,더불어민주당,40.4
84,84,더불어민주당,36.8
85,85,더불어민주당,41.0
86,86,더불어민주당,36.0
87,87,더불어민주당,33.0
88,88,더불어민주당,35.2
89,89,더불어민주당,45.2
90,90,더불어민주당,40.0
91,91,더불어민주당,40.0
92,92,더불어민주당,36.8
93,93,더불어민주당,38.0
94,94,더불어민주당,41.7
95,95,더불어민주당,40.0
96,96,더불어민주당,42.6
97,97,더불어민주당,45.2
98,98,더불어민주당,47.0
99,99,더불어민주당,37.0
100,100,더불어민주당,39.0
101,101,더불어민주당,41.0
102,102,더불어민주당,32.0
103,103,더불어민주당,37.0
104,104,더불어민주당,44.0
105,105,더불어민주당,41.0
106,106,더불어민주당,39.0
107,107,더불어민주당,50.4
108,108,더불어민주당,42.0
109,109,더불어민주당,37.1
110,110,더불어민주당,39.7
111,111,더불어민주당,42.5
112,112,더불어민주당,42.5
113,113,더불어민주당,41.4
114,114,더불어민주당,37.0
115,115,더불어민주당,41.4
116,116,더불어민주당,44.4
117,117,더불어민주당,43.9
118,118,더불어민주당,39.0
119,119,더불어민주당,40.8
120,120,더불어민주당,39.3
121,121,더불어민주당,48.2
122,122,더불어민주당,36.0
123,123,더불어민주당,38.4
124,124,더불어민주당,38.4
125,125,더불어민주당,38.7
126,126,더불어민주당,41.0
127,127,더불어민주당,40.2
128,128,더불어민주당,36.0
129,129,더불어민주당,43.8
130,130,더불어민주당,39.2
131,131,더불어민주당,38.0
132,132,더불어민주당,36.0
133,133,더불어민주당,43.1
134,134,더불어민주당,47.7
135,135,더불어민주당,36.0
136,136,더불어민주당,41.0
137,137,더불어민주당,35.6
138,138,더불어민주당,42.0
139,139,더불어민주당,39.8
140,140,더불어민주당,37.2
141,141,더불어민주당,42.3
142,142,더불어민주당,48.7
143,143,더불어민주당,34.0
144,144,더불어민주당,41.3
145,145,더불어민주당,39.4
146,146,더불어민주당,46.8
147,147,더불어민주당,40.0
148,148,더불어민주당,37.6
149,149,더불어민주당,30.0
150,150,더불어민주당,41.1
151,151,더불어민주당,49.5
152,152,더불어민주당,34.0
153,153,더불어민주당,36.7
154,154,더불어민주당,37.9
155,155,더불어민주당,40.0
156,156,더불어민주당,43.0
157,157,더불어민주당,34.0
158,158,더불어민주당,41.3
159,159,더불어민주당,36.1
160,160,더불어민주당,47.3
161,161,더불어민주당,38.0
162,162,더불어민주당,44.2
163,163,더불어민주당,46.5
164,164,더불어민주당,40.3
165,165,더불어민주당,39.0
166,166,더불어민주당,38.0
167,167,더불어민주당,36.9
168,168,더불어민주당,35.0
169,169,더불어민주당,36.9
170,170,더불어민주당,40.3
171,171,더불어민주당,42.3
172,172,더불어민주당,40.1
173,173,더불어민주당,35.0
174,174,더불어민주당,37.6
175,175,더불어민주당,38.2
176,176,더불어민주당,40.0
177,177,더불어민주당,39.9
178,178,더불어민주당,41.0
179,179,더불어민주당,45.0
180,180,더불어민주당,35.0
181,181,더불어민주당,37.7
182,182,더불어민주당,39.2
183,183,더불어민주당,40.4
184,184,더불어민주당,43.5
185,185,더불어민주당,39.8
186,186,더불어민주당,41.7
187,187,더불어민주당,36.0
188,188,더불어민주당,44.3
189,189,더불어민주당,44.8
190,190,더불어민주당,37.0
191,191,더불어민주당,47.1
192,192,더불어민주당,40.0
193,193,더불어민주당,38.2
194,194,더불어민주당,50.0
195,195,더불어민주당,44.3
196,196,더불어민주당,37.0
197,197,더불어민주당,44.7
198,198,더불어민주당,44.9
199,199,더불어민주당,42.9
200,200,더불어민주당,43.3
201,201,더불어민주당,41.7
202,202,더불어민주당,42.2
203,203,더불어민주당,42.1
204,204,더불어민주당,44.9
205,205,더불어민주당,38.0
206,206,더불어민주당,37.5
207,207,더불어민주당,51.4
208,208,더불어민주당,49.5
209,209,더불어민주당,40.0
210,210,더불어민주당,46.1
211,211,더불어민주당,43.6
212,212,더불어민주당,47.8
213,213,더불어민주당,42.2
214,214,더불어민주당,35.0
215,0,국민의힘,27.5
216,1,국민의힘,26.3
217,2,국민의힘,31.8
218,3,국민의힘,27.0
219,4,국민의힘,26.2
220,5,국민의힘,21.8
221,6,국민의힘,24.4
222,7,국민의힘,24.0
223,8,국민의힘,23.1
224,9,국민의힘,18.2
225,10,국민의힘,30.9
226,11,국민의힘,23.6
227,12,국민의힘,30.4
228,13,국민의힘,21.0
229,14,국민의힘,24.0
230,15,국민의힘,25.7
231,16,국민의힘,21.2
232,17,국민의힘,28.1
233,18,국민의힘,30.1
234,19,국민의힘,25.8
235,20,국민의힘,26.0
236,21,국민의힘,29.6
237,22,국민의힘,24.0
238,23,국민의힘,29.7
239,24,국민의힘,24.2
240,25,국민의힘,32.8
241,26,국민의힘,30.3
242,27,국민의힘,31.3
243,28,국민의힘,25.0
244,29,국민의힘,30.6
245,30,국민의힘,38.2
246,31,국민의힘,23.0
247,32,국민의힘,25.0
248,33,국민의힘,27.0
249,34,국민의힘,35.4
250,35,국민의힘,34.7
251,36,국민의힘,29.0
252,37,국민의힘,35.7
253,38,국민의힘,27.0
254,39,국민의힘,30.4
255,40,국민의힘,29.0
256,41,국민의힘,24.0
257,42,국민의힘,21.0
258,43,국민의힘,30.0
259,44,국민의힘,36.5
260,45,국민의힘,34.4
261,46,국민의힘,26.8
262,47,국민의힘,36.0
263,48,국민의힘,38.8
264,49,국민의힘,40.2
265,50,국민의힘,40.0
266,51,국민의힘,37.9
267,52,국민의힘,36.3
268,53,국민의힘,33.5
269,54,국민의힘,41.0
270,55,국민의힘,32.0
271,56,국민의힘,42.7
272,57,국민의힘,34.0
273,58,국민의힘,42.3
274,59,국민의힘,35.0
275,60,국민의힘,40.8
276,61,국민의힘,40.8
277,62,국민의힘,42.0
278,63,국민의힘,33.2
279,64,국민의힘,41.6
280,65,국민의힘,45.7
281,66,국민의힘,39.7
282,67,국민의힘,44.8
283,68,국민의힘,40.5
284,69,국민의힘,44.5
285,70,국민의힘,43.9
286,71,국민의힘,35.0
287,72,국민의힘,47.5
288,73,국민의힘,39.0
289,74,국민의힘,42.0
290,75,국민의힘,46.5
291,76,국민의힘,38.1
292,77,국민의힘,46.0
293,78,국민의힘,45.9
294,79,국민의힘,45.3
295,80,국민의힘,45.3
296,81,국민의힘,48.5
297,82,국민의힘,46.4
298,83,국민의힘,41.5
299,84,국민의힘,44.4
300,85,국민의힘,43.1
301,86,국민의힘,38.0
302,87,국민의힘,41.0
303,88,국민의힘,47.6
304,89,국민의힘,46.8
305,90,국민의힘,39.0
306,91,국민의힘,38.0
307,92,국민의힘,46.7
308,93,국민의힘,42.0
309,94,국민의힘,45.4
310,95,국민의힘,41.0
311,96,국민의힘,45.5
312,97,국민의힘,37.8
313,98,국민의힘,36.5
314,99,국민의힘,44.0
315,100,국민의힘,39.0
316,101,국민의힘,46.2
317,102,국민의힘,38.0
318,103,국민의힘,35.0
319,104,국민의힘,41.0
320,105,국민의힘,38.0
321,106,국민의힘,43.0
322,107,국민의힘,34.3
323,108,국민의힘,41.0
324,109,국민의힘,49.3
325,110,국민의힘,43.7
326,111,국민의힘,42.1
327,112,국민의힘,38.7
328,113,국민의힘,41.1
329,114,국민의힘,39.0
330,115,국민의힘,43.2
331,116,국민의힘,46.7
332,117,국민의힘,42.8
333,118,국민의힘,40.0
334,119,국민의힘,42.8
335,120,국민의힘,42.4
336,121,국민의힘,34.3
337,122,국민의힘,42.0
338,123,국민의힘,41.9
339,124,국민의힘,42.6
340,125,국민의힘,45.9
341,126,국민의힘,44.2
342,127,국민의힘,40.2
343,128,국민의힘,37.0
344,129,국민의힘,47.5
345,130,국민의힘,48.2
346,131,국민의힘,39.0
347,132,국민의힘,39.0
348,133,국민의힘,41.4
349,134,국민의힘,35.8
350,135,국민의힘,43.0
351,136,국민의힘,36.0
352,137,국민의힘,47.7
353,138,국민의힘,40.3
354,139,국민의힘,42.3
355,140,국민의힘,49.0
356,141,국민의힘,39.7
357,142,국민의힘,36.4
358,143,국민의힘,37.0
359,144,국민의힘,44.1
360,145,국민의힘,45.8
361,146,국민의힘,35.3
362,147,국민의힘,34.0
363,148,국민의힘,41.0
364,149,국민의힘,41.0
365,150,국민의힘,42.7
366,151,국민의힘,30.4
367,152,국민의힘,46.0
368,153,국민의힘,43.5
369,154,국민의힘,42.3
370,155,국민의힘,44.1
371,156,국민의힘,38.8
372,157,국민의힘,37.0
373,158,국민의힘,42.1
374,159,국민의힘,45.2
375,160,국민의힘,36.4
376,161,국민의힘,36.0
377,162,국민의힘,37.6
378,163,국민의힘,34.3
379,164,국민의힘,41.1
380,165,국민의힘,39.0
381,166,국민의힘,42.0
382,167,국민의힘,44.3
383,168,국민의힘,44.0
384,169,국민의힘,45.4
385,170,국민의힘,40.5
386,171,국민의힘,41.1
387,172,국민의힘,43.9
388,173,국민의힘,34.0
389,174,국민의힘,43.4
390,175,국민의힘,45.3
391,176,국민의힘,36.0
392,177,국민의힘,48.4
393,178,국민의힘,42.7
394,179,국민의힘,34.3
395,180,국민의힘,45.0
396,181,국민의힘,41.0
397,182,국민의힘,38.5
398,183,국민의힘,41.9
399,184,국민의힘,40.0
400,185,국민의힘,43.7
401,186,국민의힘,43.3
402,187,국민의힘,38.0
403,188,국민의힘,44.3
404,189,국민의힘,35.0
405,190,국민의힘,40.0
406,191,국민의힘,35.1
407,192,국민의힘,36.0
408,193,국민의힘,40.1
409,194,국민의힘,39.3
410,195,국민의힘,39.0
411,196,국민의힘,41.0
412,197,국민의힘,34.4
413,198,국민의힘,36.6
414,199,국민의힘,38.7
415,200,국민의힘,39.8
416,201,국민의힘,40.7
417,202,국민의힘,39.7
418,203,국민의힘,41.7
419,204,국민의힘,37.5
420,205,국민의힘,32.0
421,206,국민의힘,43.1
422,207,국민의힘,37.6
423,208,국민의힘,32.9
424,209,국민의힘,36.0
425,210,국민의힘,43.4
426,211,국민의힘,40.0
427,212,국민의힘,31.6
428,213,국민의힘,39.4
429,214,국민의힘,44.0
430,0,조국혁신당,8.0
431,1,조국혁신당,8.4
432,2,조국혁신당,9.4
433,3,조국혁신당,7.0
434,4,조국혁신당,7.3
435,5,조국혁신당,8.8
436,6,조국혁신당,11.4
437,7,조국혁신당,9.0
438,8,조국혁신당,8.4
439,9,조국혁신당,10.5
440,10,조국혁신당,3.7
441,11,조국혁신당,7.3
442,12,조국혁신당,4.0
443,13,조국혁신당,9.0
444,14,조국혁신당,8.0
445,15,조국혁신당,8.0
446,16,조국혁신당,7.1
447,17,조국혁신당,8.0
448,18,조국혁신당,4.3
449,19,조국혁신당,5.5
450,20,조국혁신당,8.0
451,21,조국혁신당,5.4
452,22,조국혁신당,4.0
453,23,조국혁신당,6.0
454,24,조국혁신당,7.4
455,25,조국혁신당,7.7
456,26,조국혁신당,5.5
457,27,조국혁신당,6.9
458,28,조국혁신당,7.0
459,29,조국혁신당,6.0
460,30,조국혁신당,3.2
461,31,조국혁신당,7.0
462,32,조국혁신당,8.0
463,33,조국혁신당,6.0
464,34,조국혁신당,5.0
465,35,조국혁신당,4.2
466,36,조국혁신당,4.0
467,37,조국혁신당,4.3
468,38,조국혁신당,9.7
469,39,조국혁신당,5.2
470,40,조국혁신당,5.0
471,41,조국혁신당,7.0
472,42,조국혁신당,5.0
473,43,조국혁신당,6.0
474,44,조국혁신당,4.1
475,45,조국혁신당,4.8
476,46,조국혁신당,6.1
477,47,조국혁신당,7.0
478,48,조국혁신당,5.6
479,49,조국혁신당,3.6
480,50,조국혁신당,4.7
481,51,조국혁신당,3.1
482,52,조국혁신당,4.9
483,53,조국혁신당,7.4
484,54,조국혁신당,4.7
485,55,조국혁신당,7.0
486,56,조국혁신당,4.3
487,57,조국혁신당,5.0
488,58,조국혁신당,3.4
489,59,조국혁신당,4.0
490,60,조국혁신당,6.3
491,61,조국혁신당,4.8
492,62,조국혁신당,7.0
493,63,조국혁신당,6.2
494,64,조국혁신당,5.5
495,65,조국혁신당,3.0
496,66,조국혁신당,5.6
497,67,조국혁신당,4.3
498,68,조국혁신당,3.8
499,69,조국혁신당,4.0
500,70,조국혁신당,4.0
501,71,조국혁신당,8.0
502,72,조국혁신당,1.9
503,73,조국혁신당,4.0
504,74,조국혁신당,4.0
505,75,조국혁신당,4.2
506,76,조국혁신당,5.6
507,77,조국혁신당,5.0
508,78,조국혁신당,2.2
509,79,조국혁신당,4.0
510,80,조국혁신당,2.5
511,81,조국혁신당,3.8
512,82,조국혁신당,2.8
513,83,조국혁신당,5.9
514,84,조국혁신당,4.2
515,85,조국혁신당,4.9
516,86,조국혁신당,5.0
517,87,조국혁신당,8.0
518,88,조국혁신당,2.4
519,89,조국혁신당,2.3
520,90,조국혁신당,5.0
521,91,조국혁신당,3.0
522,92,조국혁신당,3.6
523,93,조국혁신당,4.0
524,94,조국혁신당,4.5
525,95,조국혁신당,4.0
526,96,조국혁신당,2.9
527,97,조국혁신당,4.3
528,98,조국혁신당,4.9
529,99,조국혁신당,5.0
530,100,조국혁신당,4.0
531,101,조국혁신당,2.7
532,102,조국혁신당,7.0
533,103,조국혁신당,8.0
534,104,조국혁신당,4.0
535,105,조국혁신당,3.0
536,106,조국혁신당,5.0
537,107,조국혁신당,3.5
538,108,조국혁신당,5.0
539,109,조국혁신당,2.7
540,110,조국혁신당,3.0
541,111,조국혁신당,3.1
542,112,조국혁신당,5.9
543,113,조국혁신당,3.6
544,114,조국혁신당,4.0
545,115,조국혁신당,4.5
546,116,조국혁신당,2.0
547,117,조국혁신당,3.3
548,118,조국혁신당,5.0
549,119,조국혁신당,3.4
550,120,조국혁신당,3.7
551,121,조국혁신당,5.0
552,122,조국혁신당,5.0
553,123,조국혁신당,3.3
554,124,조국혁신당,4.1
555,125,조국혁신당,2.8
556,126,조국혁신당,2.2
557,127,조국혁신당,7.2
558,128,조국혁신당,6.0
559,129,조국혁신당,3.5
560,130,조국혁신당,1.7
561,131,조국혁신당,4.0
562,132,조국혁신당,6.0
563,133,조국혁신당,3.6
564,134,조국혁신당,4.2
565,135,조국혁신당,6.0
566,136,조국혁신당,3.0
567,137,조국혁신당,4.3
568,138,조국혁신당,6.0
569,139,조국혁신당,2.7
570,140,조국혁신당,3.6
571,141,조국혁신당,3.5
572,142,조국혁신당,3.4
573,143,조국혁신당,7.0
574,144,조국혁신당,4.8
575,145,조국혁신당,3.1
576,146,조국혁신당,5.9
577,147,조국혁신당,3.0
578,148,조국혁신당,4.2
579,149,조국혁신당,7.0
580,150,조국혁신당,4.4
581,151,조국혁신당,5.1
582,152,조국혁신당,5.0
583,153,조국혁신당,3.0
584,154,조국혁신당,3.9
585,155,조국혁신당,2.4
586,156,조국혁신당,5.2
587,157,조국혁신당,6.0
588,158,조국혁신당,2.8
589,159,조국혁신당,3.9
590,160,조국혁신당,4.5
591,161,조국혁신당,3.0
592,162,조국혁신당,4.0
593,163,조국혁신당,5.3
594,164,조국혁신당,2.7
595,165,조국혁신당,7.0
596,166,조국혁신당,5.0
597,167,조국혁신당,3.5
598,168,조국혁신당,4.0
599,169,조국혁신당,3.9
600,170,조국혁신당,5.5
601,171,조국혁신당,3.0
602,172,조국혁신당,3.7
603,173,조국혁신당,6.0
604,174,조국혁신당,4.8
605,175,조국혁신당,4.5
606,176,조국혁신당,2.0
607,177,조국혁신당,3.8
608,178,조국혁신당,3.9
609,179,조국혁신당,5.9
610,180,조국혁신당,4.0
611,181,조국혁신당,3.7
612,182,조국혁신당,3.4
613,183,조국혁신당,2.7
614,184,조국혁신당,6.1
615,185,조국혁신당,3.2
616,186,조국혁신당,2.7
617,187,조국혁신당,5.0
618,188,조국혁신당,3.4
619,189,조국혁신당,5.7
620,190,조국혁신당,6.0
621,191,조국혁신당,3.9
622,192,조국혁신당,3.0
623,193,조국혁신당,5.4
624,194,조국혁신당,3.8
625,195,조국혁신당,3.3
626,196,조국혁신당,5.0
627,197,조국혁신당,5.4
628,198,조국혁신당,2.5
629,199,조국혁신당,3.9
630,200,조국혁신당,4.5
631,201,조국혁신당,3.4
632,202,조국혁신당,6.5
633,203,조국혁신당,3.4
634,204,조국혁신당,3.7
635,205,조국혁신당,7.0
636,206,조국혁신당,4.5
637,207,조국혁신당,4.0
638,208,조국혁신당,3.9
639,209,조국혁신당,3.0
640,210,조국혁신당,4.2
641,211,조국혁신당,4.3
642,212,조국혁신당,5.5
643,213,조국혁신당,3.0
644,214,조국혁신당,5.0
645,0,개혁신당,3.2
646,1,개혁신당,5.2
647,2,개혁신당,4.0
648,3,개혁신당,2.0
649,4,개혁신당,4.3
650,5,개혁신당,2.4
651,6,개혁신당,3.7
652,7,개혁신당,2.0
653,8,개혁신당,3.6
654,9,개혁신당,4.6
655,10,개혁신당,3.0
656,11,개혁신당,5.0
657,12,개혁신당,2.8
658,13,개혁신당,4.0
659,14,개혁신당,4.0
660,15,개혁신당,2.8
661,16,개혁신당,3.1
662,17,개혁신당,3.1
663,18,개혁신당,2.5
664,19,개혁신당,4.3
665,20,개혁신당,2.0
666,21,개혁신당,3.2
667,22,개혁신당,2.0
668,23,개혁신당,2.7
669,24,개혁신당,2.0
670,25,개혁신당,3.5
671,26,개혁신당,4.1
672,27,개혁신당,3.3
673,28,개혁신당,5.0
674,29,개혁신당,3.0
675,30,개혁신당,3.0
676,31,개혁신당,3.0
677,32,개혁신당,3.0
678,33,개혁신당,2.0
679,34,개혁신당,1.1
680,35,개혁신당,3.3
681,36,개혁신당,3.0
682,37,개혁신당,3.3
683,38,개혁신당,3.5
684,39,개혁신당,3.5
685,40,개혁신당,2.0
686,41,개혁신당,4.0
687,42,개혁신당,2.0
688,43,개혁신당,5.0
689,44,개혁신당,3.0
690,45,개혁신당,3.1
691,46,개혁신당,2.9
692,47,개혁신당,2.0
693,48,개혁신당,2.5
694,49,개혁신당,2.7
695,50,개혁신당,2.1
696,51,개혁신당,2.3
697,52,개혁신당,2.1
698,53,개혁신당,3.4
699,54,개혁신당,3.0
700,55,개혁신당,3.0
701,56,개혁신당,2.2
702,57,개혁신당,2.0
703,58,개혁신당,2.1
704,59,개혁신당,3.0
705,60,개혁신당,2.8
706,61,개혁신당,2.4
707,62,개혁신당,3.0
708,63,개혁신당,2.5
709,64,개혁신당,3.1
710,65,개혁신당,2.1
711,66,개혁신당,2.1
712,67,개혁신당,2.1
713,68,개혁신당,2.3
714,69,개혁신당,1.9
715,70,개혁신당,1.9
716,71,개혁신당,3.0
717,72,개혁신당,1.7
718,73,개혁신당,2.0
719,74,개혁신당,2.0
