stock_id,standard_code,short_code,kor_stock_name,kor_stock_abbr,eng_stock_name,listing_date,market_type,security_type,affiliated_dept,stock_type,listed_shares
1,KR7039240007,039240,경남스틸,경남스틸,"Kyeong Nam Steel Co., LTD",2000/03/07,KOSDAQ,주권,우량기업부,보통주,26979604
2,KR7010130003,010130,고려아연보통주,고려아연,KoreaZinc,1990/07/28,KOSPI,주권,,보통주,20703283
3,KR7026910000,026910,광진실업,광진실업,KwangjinInd,1996/01/03,KOSDAQ,주권,중견기업부,보통주,6405405
4,KR7053270005,053270,구영테크,구영테크,GUYOUNG TECHNOLOGY,2002/02/07,KOSDAQ,주권,우량기업부,보통주,27410405
5,KR7006050009,006050,국영지앤엠,국영지앤엠,KUK YOUNG G&M,1994/10/07,KOSDAQ,주권,중견기업부,보통주,34895243
6,KR7014530000,014530,극동유화보통주,극동유화,KukdongOil&Chem.,1991/01/31,KOSPI,주권,,보통주,34869420
7,KR7001570001,001570,금양보통주,금양,Kumyang,1976/12/17,KOSPI,주권,,보통주,63967196
8,KR7035460005,035460,기산텔레콤,기산텔레콤,"Kisan Telecom CO.,Ltd",1999/11/18,KOSDAQ,주권,벤처기업부,보통주,14577340
9,KR7013700000,013700,까뮤이앤씨보통주,까뮤이앤씨,CAMUS ENGINEERING & CONSTRUCTION Inc.,1989/11/30,KOSPI,주권,,보통주,59750830
10,KR7004540001,004540,깨끗한나라보통주,깨끗한나라,KleanNara,1975/06/25,KOSPI,주권,,보통주,37240693
11,KR7311390009,311390,네오크레마,네오크레마,"Neo Cremar Co., Ltd.",2019/08/22,KOSDAQ,주권,벤처기업부,보통주,12653789
12,KR7137940003,137940,넥스트아이,넥스트아이,"NextEye Co., Ltd.",2011/06/14,KOSDAQ,주권,중견기업부,보통주,78320992
13,KR7376930004,376930,노을,노을,"Noul Co., Ltd.",2022/03/03,KOSDAQ,주권,기술성장기업부,보통주,36947060
14,KR7069140002,069140,누리플랜,누리플랜,"Nuriplan Co., Ltd",2010/10/26,KOSDAQ,주권,벤처기업부,보통주,13102743
15,KR7060260007,060260,뉴보텍,뉴보텍,"NUVOTEC Co., Ltd",2002/02/05,KOSDAQ,주권,벤처기업부,보통주,13512009
16,KR7030210009,030210,다올투자증권보통주,다올투자증권,Daol Investment & Securities,1996/11/19,KOSPI,주권,,보통주,60911106
17,KR7019680008,019680,대교보통주,대교,DAEKYO,2004/02/03,KOSPI,주권,,보통주,84702850
18,KR7004780003,004780,대륙제관,대륙제관,DaeryukCan,1994/12/29,KOSDAQ,주권,우량기업부,보통주,15903199
19,KR7084690007,084690,대상홀딩스 보통주,대상홀딩스,Daesang Holdings,2005/08/17,KOSPI,주권,,보통주,36212538
20,KR7084691005,084695,대상홀딩스 1우선주,대상홀딩스우,Daesang Holdings(1P),2005/08/17,KOSPI,주권,,구형우선주,913482
21,KR7128820008,128820,대성산업보통주,대성산업,DAESUNG INDUSTRIAL,2010/07/30,KOSPI,주권,,보통주,45235478
22,KR7027830009,027830,대성창업투자,대성창투,"Daesung Private Equity, Inc.",1999/11/30,KOSDAQ,주권,중견기업부,보통주,54000000
23,KR7020180006,020180,대신정보통신,대신정보통신,DaishinInformation,1995/10/06,KOSDAQ,주권,중견기업부,보통주,38428915
24,KR7009190000,009190,대양금속보통주,대양금속,DaiyangMetal,1994/04/29,KOSPI,주권,,보통주,42359986
25,KR7014160006,014160,대영포장보통주,대영포장,DaeyoungPackaging,1990/03/06,KOSPI,주권,,보통주,108394549
26,KR7006340004,006340,대원전선보통주,대원전선,DaewonCable,1988/05/04,KOSPI,주권,,보통주,74979175
27,KR7078600004,078600,대주전자재료,대주전자재료,"Daejoo Electronic Materials Co., Ltd.",2004/12/10,KOSDAQ,주권,우량기업부,보통주,15480593
28,KR7016090003,016090,대현보통주,대현,Daehyun,1990/09/20,KOSPI,주권,,보통주,44282310
