,date,stock_code,close,high,low,open,volume
0,2024-12-02,039240,2734.728515625,2827.34855447861,2700.6053434157757,2807.8495989304815,113180
1,2024-12-03,039240,2754.2275390625,2788.350712112832,2710.354887997788,2710.354887997788,58441
2,2024-12-04,039240,3319.697265625,3470.8141749265783,2783.475974554882,2866.346537720264,6697317
3,2024-12-05,039240,2929.71826171875,3090.5846554570508,2841.972956043313,3090.5846554570508,1588724
4,2024-12-06,039240,3251.450927734375,3461.064705684267,2929.718152276401,2934.5928912984914,5856944
5,2024-12-09,039240,4226.39892578125,4226.39892578125,3217.327901978806,3461.0648642499277,14982458
6,2024-12-10,039240,4455.51171875,4991.733041575492,4099.655749965809,4426.263282959519,12178828
7,2024-12-11,039240,4572.50537109375,4777.244417560634,4260.522062191831,4631.00224151286,3332692
8,2024-12-12,039240,4665.12548828125,4830.86662370608,4426.263263698406,4538.3822670740265,1190400
9,2024-12-13,039240,4631.001953125,4631.001953125,4440.887136101974,4616.377736430921,615318
10,2024-12-16,039240,4835.7412109375,5362.213036321825,4806.492776193927,5362.213036321825,1339478
11,2024-12-17,039240,4338.517578125,4777.244074789326,4148.402762903792,4708.997730863764,2197299
12,2024-12-18,039240,4728.4970703125,5284.217344555413,4104.530446601159,4348.267408988402,19631253
13,2024-12-19,039240,4981.9833984375,5176.972963934075,4762.620137253853,4777.244354666096,11090371
14,2024-12-20,039240,4601.75390625,5030.730965307203,4518.883338023041,4869.864568160752,2867634
15,2024-12-23,039240,5137.97509765625,5527.954232203214,4606.628526836012,4606.628526836012,21963324
16,2024-12-24,039240,5011.23193359375,5352.463680044686,4972.234019713643,5215.970981464312,3897098
17,2024-12-26,039240,4670.0,5167.223382045929,4562.755741127348,5011.231732776618,2578431
18,2024-12-27,039240,4600.0,5220.0,4460.0,4745.0,6487896
19,2024-12-30,039240,4545.0,4640.0,4445.0,4470.0,1059554
20,2025-01-02,039240,4855.0,4975.0,4620.0,4740.0,2993674
21,2025-01-03,039240,5700.0,5960.0,4870.0,4935.0,16819758
22,2025-01-06,039240,5200.0,5650.0,5070.0,5610.0,3385297
23,2025-01-07,039240,5360.0,5500.0,5180.0,5250.0,2555927
24,2025-01-08,039240,5500.0,5770.0,5310.0,5330.0,4570291
25,2025-01-09,039240,5520.0,5570.0,5270.0,5420.0,1834068
26,2025-01-10,039240,6000.0,6750.0,5770.0,6320.0,20168581
27,2025-01-13,039240,5760.0,6020.0,5670.0,5900.0,2761509
28,2025-01-14,039240,6060.0,6310.0,5730.0,5760.0,7425226
29,2025-01-15,039240,6010.0,6330.0,5600.0,6150.0,6332408
30,2025-01-16,039240,6050.0,6120.0,5870.0,5980.0,1961762
31,2025-01-17,039240,7010.0,7200.0,6000.0,6030.0,13890094
32,2025-01-20,039240,6140.0,6970.0,6140.0,6900.0,4734187
33,2025-01-21,039240,5930.0,6280.0,5750.0,6150.0,2224583
34,2025-01-22,039240,5420.0,5920.0,5390.0,5850.0,2296615
35,2025-01-23,039240,5420.0,5640.0,5250.0,5260.0,2307933
36,2025-01-24,039240,5490.0,5660.0,5310.0,5400.0,1339242
37,2025-01-31,039240,5650.0,5920.0,5540.0,5560.0,2924280
38,2025-02-03,039240,5100.0,5470.0,4900.0,5440.0,2292912
39,2025-02-04,039240,5120.0,5190.0,5040.0,5080.0,870880
40,2025-02-05,039240,5010.0,5140.0,4980.0,5060.0,805809
41,2025-02-06,039240,4960.0,5100.0,4930.0,5010.0,547903
42,2025-02-07,039240,4650.0,4895.0,4580.0,4875.0,1458043
43,2025-02-10,039240,4580.0,4700.0,4515.0,4600.0,984420
44,2025-02-11,039240,4670.0,4670.0,4500.0,4550.0,523912
